jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Mercredi;20/05/2015;midi;20/07/2015;2 220 881;eur;
Mardi   ;19/05/2015;soir;19/07/2015;1 878 260;eur;
Mardi   ;19/05/2015;midi;19/07/2015;6 390 515;eur;
Lundi   ;18/05/2015;soir;18/07/2015;5 127 621;eur;
Lundi   ;18/05/2015;midi;18/07/2015;5 388 461;eur;
Dimanche;17/05/2015;soir;17/07/2015;9 588 415;eur;
Dimanche;17/05/2015;midi;17/07/2015;9 841 852;eur;
Samedi  ;16/05/2015;soir;16/07/2015;7 577 692;eur;
Samedi  ;16/05/2015;midi;16/07/2015;3 386 537;eur;
Vendredi;15/05/2015;soir;15/07/2015;8 613 159;eur;
Vendredi;15/05/2015;midi;15/07/2015;6 912 480;eur;
Jeudi   ;14/05/2015;soir;14/07/2015;9 331 857;eur;
Jeudi   ;14/05/2015;midi;14/07/2015;8 018 700;eur;
Mercredi;13/05/2015;soir;13/07/2015;5 084 218;eur;
Mercredi;13/05/2015;midi;13/07/2015;6 842 240;eur;
Mardi   ;12/05/2015;soir;12/07/2015;0 719 255;eur;
Mardi   ;12/05/2015;midi;12/07/2015;3 427 311;eur;
Lundi   ;11/05/2015;soir;11/07/2015;5 095 994;eur;
Lundi   ;11/05/2015;midi;11/07/2015;1 144 001;eur;
Dimanche;10/05/2015;soir;10/07/2015;0 688 992;eur;
Dimanche;10/05/2015;midi;10/07/2015;1 345 625;eur;
Samedi  ;09/05/2015;soir;09/07/2015;3 262 229;eur;
Samedi  ;09/05/2015;midi;09/07/2015;4 598 847;eur;
Vendredi;08/05/2015;soir;08/07/2015;7 636 271;eur;
Vendredi;08/05/2015;midi;08/07/2015;3 784 490;eur;
Jeudi   ;07/05/2015;soir;07/07/2015;9 036 366;eur;
Jeudi   ;07/05/2015;midi;07/07/2015;8 020 235;eur;
Mercredi;06/05/2015;soir;06/07/2015;7 522 256;eur;
Mercredi;06/05/2015;midi;06/07/2015;6 000 405;eur;
Mardi   ;05/05/2015;soir;05/07/2015;2 621 166;eur;
Mardi   ;05/05/2015;midi;05/07/2015;5 906 156;eur;
Lundi   ;04/05/2015;soir;04/07/2015;2 097 793;eur;
Lundi   ;04/05/2015;midi;04/07/2015;5 876 342;eur;
Dimanche;03/05/2015;soir;03/07/2015;4 901 708;eur;
Dimanche;03/05/2015;midi;03/07/2015;6 354 727;eur;
Samedi  ;02/05/2015;soir;02/07/2015;6 227 638;eur;
Samedi  ;02/05/2015;midi;02/07/2015;0 026 435;eur;
Vendredi;01/05/2015;soir;01/07/2015;4 448 852;eur;
Vendredi;01/05/2015;midi;01/07/2015;5 450 975;eur;
Jeudi   ;30/04/2015;soir;30/06/2015;8 128 823;eur;
Jeudi   ;30/04/2015;midi;30/06/2015;1 999 764;eur;
Mercredi;29/04/2015;soir;29/06/2015;9 506 388;eur;
Mercredi;29/04/2015;midi;29/06/2015;3 902 271;eur;
Mardi   ;28/04/2015;soir;28/06/2015;3 518 840;eur;
Mardi   ;28/04/2015;midi;28/06/2015;3 942 672;eur;
Lundi   ;27/04/2015;soir;27/06/2015;7 268 744;eur;
Lundi   ;27/04/2015;midi;27/06/2015;9 241 178;eur;
Dimanche;26/04/2015;soir;26/06/2015;1 403 997;eur;
Dimanche;26/04/2015;midi;26/06/2015;9 728 137;eur;
Samedi  ;25/04/2015;soir;25/06/2015;4 647 818;eur;
Samedi  ;25/04/2015;midi;25/06/2015;8 117 604;eur;
Vendredi;24/04/2015;soir;24/06/2015;3 221 939;eur;
Vendredi;24/04/2015;midi;24/06/2015;9 769 010;eur;
Jeudi   ;23/04/2015;soir;23/06/2015;5 464 690;eur;
Jeudi   ;23/04/2015;midi;23/06/2015;4 496 719;eur;
Mercredi;22/04/2015;soir;22/06/2015;4 289 930;eur;
Mercredi;22/04/2015;midi;22/06/2015;2 414 811;eur;
Mardi   ;21/04/2015;soir;21/06/2015;6 050 218;eur;
Mardi   ;21/04/2015;midi;21/06/2015;1 344 301;eur;
Lundi   ;20/04/2015;soir;20/06/2015;7 753 495;eur;
Lundi   ;20/04/2015;midi;20/06/2015;9 145 006;eur;
Dimanche;19/04/2015;soir;19/06/2015;3 648 855;eur;
Dimanche;19/04/2015;midi;19/06/2015;6 483 503;eur;
Samedi  ;18/04/2015;soir;18/06/2015;7 200 265;eur;
Samedi  ;18/04/2015;midi;18/06/2015;0 261 625;eur;
Vendredi;17/04/2015;soir;17/06/2015;8 589 460;eur;
Vendredi;17/04/2015;midi;17/06/2015;5 609 406;eur;
Jeudi   ;16/04/2015;soir;16/06/2015;8 748 677;eur;
Jeudi   ;16/04/2015;midi;16/06/2015;6 571 509;eur;
Mercredi;15/04/2015;soir;15/06/2015;8 492 729;eur;
Mercredi;15/04/2015;midi;15/06/2015;4 993 784;eur;
Mardi   ;14/04/2015;soir;14/06/2015;9 772 468;eur;
Mardi   ;14/04/2015;midi;14/06/2015;5 362 203;eur;
Lundi   ;13/04/2015;soir;13/06/2015;2 806 910;eur;
